versucht, versuchen, versuche, versuchst, empfehlen, fordert, fordern, schafft, schaffen, führt, entstehen, entsteht, existiert, wirken, wirkt, wirkst
verlässt, verlassen, verlasse, beachten, schützen, schützt, erkläre, erklären, erklärt, verfügt, verfügen, zahlst, zahlt, setzen, setzt, lösen
eröffnet, eröffnen, eröffne, diskutieren, diskutiert, ergeben, ergibt, wünsche, wünschen, wünscht, behalten, behalte, benötigen, entferne, entfernen, entfernt
garantieren, garantiert, erfahren, erfährt, installiert, installieren, lässt, lasst, läßt, lassen, aktivieren, aktiviere, sollst, sollt, soll, sollen, handeln, handelt, handle, vertreten, vertritt, vertretet
liefert, liefern, planen, genügt, genügen, bildet, bilden, vermittelt, vermitteln, leistet, leisten, vergeben, vergibst, vergibt, vergebe, hängt, hängen
berechtigt, berechtigen, bearbeitet, bearbeitest, behandeln, behandelt, beraten, beendet, beendest, bestätigen, bestätigt, bestätige, bestehen, besteht
