habt, haben, hast, hat, habe, gegessen, gesehen, gelernt, gelesen, gespielt, geschlafen
behalten, erfahren, veröffentlicht, beraten, verbessert, besucht, gegeben
geschrieben, bin, bist, ist, seid, sind, geschwommen, gelaufen, gekommen, gefragt, geworden, gestohlen
interessiert, informiert, verletzt, gegangen, erzählt, gerannt, gewesen
getrunken, gehabt, gekocht, gesprochen, gemacht, gesucht, gefunden, überwiesen
gesagt, gemocht, gestellt, verkauft, vergessen, bestellt, geladen, geschehen
